SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP13,G5,P07,2021-08-03,7945,101,346
SP14,G2,P13,2021-08-03,6167,104,257
SP02,G3,P09,2021-08-04,12404,68,955
SP14,G4,P22,2021-08-04,7168,12,378
SP16,G5,P03,2021-08-04,2779,102,155
SP12,G5,P04,2021-08-05,17843,91,1190
SP09,G1,P03,2021-08-05,1491,171,68
SP23,G6,P11,2021-08-05,4907,151,164
SP20,G2,P09,2021-08-05,11452,137,1273
SP17,G5,P14,2021-08-05,7301,4,812
SP06,G5,P12,2021-08-05,1708,65,122
SP16,G2,P10,2021-08-05,6013,343,215
SP12,G2,P12,2021-08-05,3654,62,261
SP18,G1,P19,2021-08-05,13279,12,1660
SP21,G1,P18,2021-08-05,8554,247,276
SP11,G3,P14,2021-08-05,8554,56,713
SP24,G6,P10,2021-08-05,14,27,1
SP19,G6,P03,2021-08-05,2156,306,114
SP13,G6,P20,2021-08-06,3605,249,181
SP25,G5,P10,2021-08-06,3668,248,142
SP06,G6,P06,2021-08-06,6909,240,329
SP19,G2,P15,2021-08-06,7434,52,744
SP11,G4,P20,2021-08-06,2030,223,127
SP23,G6,P15,2021-08-06,12201,108,763
SP09,G5,P01,2021-08-06,5075,53,203
SP15,G4,P20,2021-08-06,9478,194,527
SP14,G5,P15,2021-08-06,4774,147,597
SP03,G2,P01,2021-08-06,7413,268,323
SP20,G6,P15,2021-08-06,5950,261,744
SP01,G3,P01,2021-08-06,4592,84,192
SP17,G3,P13,2021-08-06,42,80,2
SP07,G2,P21,2021-08-06,1148,383,77
SP06,G2,P20,2021-08-09,3122,30,165
SP22,G4,P08,2021-08-09,6510,366,362
SP17,G1,P01,2021-08-09,1421,135,53
SP17,G6,P10,2021-08-09,273,221,13
SP06,G1,P13,2021-08-09,15400,62,963
SP07,G3,P02,2021-08-09,11193,39,700
SP06,G5,P08,2021-08-09,15813,158,753
SP02,G3,P13,2021-08-09,4375,280,274
SP14,G2,P02,2021-08-09,11683,166,899
SP23,G5,P10,2021-08-09,9009,262,361
SP17,G5,P10,2021-08-09,7112,180,264
SP16,G5,P09,2021-08-09,882,158,126
SP20,G1,P19,2021-08-09,5152,91,644
SP08,G3,P03,2021-08-09,2947,438,174
SP07,G2,P13,2021-08-09,2905,226,146
SP10,G6,P17,2021-08-09,2548,267,107
SP22,G4,P07,2021-08-09,3437,462,157
SP02,G2,P04,2021-08-09,5740,80,410
SP05,G6,P13,2021-08-09,2842,12,168
SP01,G2,P08,2021-08-09,9863,348,429
SP09,G2,P08,2021-08-09,2772,250,164
SP10,G5,P06,2021-08-09,7833,184,603
SP06,G1,P15,2021-08-10,10248,61,684
SP09,G6,P04,2021-08-10,5677,176,355
SP17,G3,P09,2021-08-10,8596,282,1433
SP04,G3,P10,2021-08-10,6657,104,267
SP05,G1,P15,2021-08-10,8134,231,678
SP13,G4,P17,2021-08-10,3122,215,105
SP16,G4,P14,2021-08-10,875,213,55
SP14,G6,P17,2021-08-10,3199,385,134
SP20,G1,P09,2021-08-10,5600,270,700
SP23,G2,P21,2021-08-10,2646,37,177
SP02,G3,P08,2021-08-10,16940,164,706
SP24,G6,P16,2021-08-10,9191,114,368
SP03,G5,P20,2021-08-10,9562,379,456
SP06,G4,P18,2021-08-10,567,55,20
SP21,G2,P12,2021-08-10,5173,186,288
SP07,G4,P09,2021-08-10,4781,273,342
SP03,G1,P18,2021-08-10,6111,73,191
SP02,G4,P06,2021-08-10,2373,477,119
SP19,G1,P04,2021-08-10,17892,469,1278
SP05,G2,P17,2021-08-10,1729,43,70
SP19,G4,P02,2021-08-10,4508,87,282
SP14,G4,P11,2021-08-11,11641,76,432
SP25,G3,P07,2021-08-11,3647,239,131
SP05,G3,P16,2021-08-11,5670,20,237
SP23,G2,P05,2021-08-11,1036,528,58
SP22,G4,P04,2021-08-11,11067,107,615
SP12,G3,P17,2021-08-11,3010,149,131
SP04,G4,P03,2021-08-11,4753,187,207
SP02,G6,P04,2021-08-11,11690,278,616
SP11,G1,P21,2021-08-11,1428,95,96
SP18,G6,P19,2021-08-11,5467,30,547
SP01,G5,P22,2021-08-11,11018,126,501
SP16,G1,P15,2021-08-11,10171,11,1272
SP25,G2,P04,2021-08-11,4935,286,260
SP21,G1,P11,2021-08-11,2499,20,81
SP22,G3,P03,2021-08-11,2492,91,139
SP12,G6,P15,2021-08-11,17549,194,1755
SP23,G6,P18,2021-08-11,6636,35,256
SP23,G3,P11,2021-08-11,8904,372,308
SP20,G6,P09,2021-08-11,16702,324,1392
SP05,G3,P07,2021-08-11,1701,500,59
SP08,G6,P22,2021-08-11,10269,324,541
SP22,G6,P09,2021-08-11,4410,81,630
SP07,G6,P14,2021-08-12,1610,417,115
SP16,G3,P21,2021-08-12,14399,141,800
SP11,G4,P10,2021-08-12,1169,310,49
SP07,G6,P20,2021-08-12,13867,320,694
SP10,G2,P19,2021-08-12,2261,89,283
SP21,G1,P17,2021-08-12,2394,171,83
SP23,G5,P01,2021-08-12,5243,30,228
SP19,G4,P08,2021-08-12,4501,145,196
SP12,G6,P18,2021-08-13,2513,144,77
SP12,G3,P10,2021-08-13,2828,49,114
SP07,G2,P09,2021-08-13,13944,77,1550
SP13,G2,P16,2021-08-13,3136,63,112
SP06,G6,P03,2021-08-13,6587,214,347
SP15,G4,P10,2021-08-13,2254,232,87
SP09,G4,P09,2021-08-13,6356,64,795
SP03,G1,P06,2021-08-13,2688,312,168
SP24,G3,P12,2021-08-13,5719,57,477
SP15,G6,P14,2021-08-13,238,122,27
SP13,G1,P18,2021-08-13,3486,62,113
SP19,G1,P03,2021-08-13,4228,190,193
SP12,G6,P11,2021-08-16,12054,43,389
SP23,G5,P15,2021-08-16,777,360,52
SP11,G1,P03,2021-08-16,1281,266,81
SP19,G1,P05,2021-08-16,15043,167,836
SP08,G3,P01,2021-08-16,7959,84,319
SP20,G2,P06,2021-08-16,651,107,31
SP08,G2,P15,2021-08-16,14280,124,1190
SP08,G5,P20,2021-08-16,672,190,42
SP02,G1,P17,2021-08-16,420,64,15
SP22,G1,P08,2021-08-16,9527,220,397
SP11,G2,P21,2021-08-16,3262,58,164
SP07,G5,P09,2021-08-16,5201,107,401
SP09,G6,P18,2021-08-16,9905,69,331
SP22,G5,P21,2021-08-16,2457,245,176
SP08,G4,P06,2021-08-16,8890,11,494
SP15,G2,P06,2021-08-17,1960,66,109
SP17,G1,P21,2021-08-17,4487,99,214
SP12,G5,P15,2021-08-17,2240,32,249
SP21,G2,P07,2021-08-17,308,445,14
SP04,G5,P01,2021-08-17,1568,30,61
SP14,G1,P09,2021-08-18,6510,536,465
SP19,G6,P16,2021-08-18,5992,263,207
SP12,G3,P07,2021-08-18,609,398,24
SP18,G6,P08,2021-08-18,8141,73,340
SP02,G5,P14,2021-08-18,12908,106,1174
SP14,G4,P13,2021-08-18,266,265,15
SP14,G5,P21,2021-08-18,14672,122,816
SP09,G4,P18,2021-08-18,8540,200,285
SP22,G3,P04,2021-08-18,546,145,26
SP24,G5,P22,2021-08-18,1631,43,86
SP09,G1,P12,2021-08-18,203,173,21
SP25,G5,P13,2021-08-18,3451,21,165
SP16,G4,P18,2021-08-18,9303,14,282
SP14,G2,P21,2021-08-18,5565,314,293
SP18,G3,P15,2021-08-18,6083,124,676
SP09,G2,P06,2021-08-18,3808,50,293
SP25,G5,P07,2021-08-18,4634,25,172
SP05,G6,P02,2021-08-18,1085,50,68
SP18,G3,P10,2021-08-19,9506,39,476
SP08,G3,P08,2021-08-19,6468,323,270
SP08,G2,P22,2021-08-19,10766,106,490
SP11,G1,P11,2021-08-19,2359,53,91
SP23,G4,P20,2021-08-19,273,227,21
SP25,G5,P02,2021-08-19,7217,13,602
SP07,G5,P15,2021-08-19,8386,7,560
SP01,G4,P08,2021-08-19,13111,43,625
SP09,G2,P22,2021-08-19,287,82,16
SP18,G5,P10,2021-08-19,11795,204,492
SP04,G3,P12,2021-08-19,7721,56,483
SP25,G4,P15,2021-08-19,147,179,11
SP25,G5,P19,2021-08-19,2891,32,207
SP06,G1,P12,2021-08-19,875,256,49
SP01,G6,P02,2021-08-19,910,38,102
SP09,G2,P15,2021-08-20,1498,109,100
SP23,G3,P05,2021-08-20,1099,123,74
SP09,G3,P11,2021-08-20,805,69,26
SP22,G2,P03,2021-08-20,2268,119,152
SP02,G2,P01,2021-08-20,1568,220,69
SP24,G6,P14,2021-08-20,49,4,4
SP08,G3,P07,2021-08-20,12558,133,503
SP25,G5,P06,2021-08-20,2856,199,179
SP15,G4,P01,2021-08-20,896,84,32
SP12,G4,P03,2021-08-20,2709,145,118
SP01,G5,P15,2021-08-20,1729,326,217
SP24,G4,P03,2021-08-20,5215,250,326
SP16,G6,P20,2021-08-20,1008,205,56
SP09,G2,P18,2021-08-20,10661,229,356
SP14,G1,P12,2021-08-20,6713,154,560
SP08,G3,P11,2021-08-20,5320,98,190
SP19,G2,P04,2021-08-20,3850,311,193
SP23,G5,P22,2021-08-20,616,103,27
SP17,G2,P12,2021-08-20,3318,139,237
SP08,G1,P12,2021-08-20,1876,72,134
SP25,G4,P10,2021-08-20,10724,206,511
SP20,G1,P07,2021-08-20,1757,239,61
SP07,G5,P04,2021-08-20,11060,139,692
SP19,G1,P11,2021-08-20,1645,272,64
SP22,G6,P07,2021-08-23,952,267,34
SP21,G1,P22,2021-08-23,2786,133,155
SP14,G6,P04,2021-08-23,8659,391,394
SP21,G6,P09,2021-08-23,9765,70,698
SP25,G5,P14,2021-08-23,6314,106,451
SP24,G4,P15,2021-08-23,4431,91,296
SP25,G5,P05,2021-08-23,1918,107,113
SP05,G6,P21,2021-08-23,6111,51,322
SP18,G6,P07,2021-08-23,329,378,13
SP09,G2,P05,2021-08-23,6146,169,473
SP25,G4,P20,2021-08-23,4529,13,324
SP21,G1,P21,2021-08-23,3241,23,232
SP13,G5,P04,2021-08-24,1120,22,63
SP03,G5,P05,2021-08-24,770,4,52
SP02,G4,P11,2021-08-24,8064,8,279
SP13,G1,P10,2021-08-24,3780,44,172
SP01,G5,P04,2021-08-24,1211,224,58
SP04,G1,P09,2021-08-24,2338,120,167
SP09,G5,P16,2021-08-24,1666,126,54
SP10,G4,P18,2021-08-25,1057,206,38
SP22,G1,P05,2021-08-25,11291,145,706
SP18,G1,P06,2021-08-25,5103,236,243
SP16,G2,P15,2021-08-25,2982,199,213
SP06,G2,P01,2021-08-25,1274,44,51
SP06,G6,P14,2021-08-26,2786,31,164
SP05,G4,P05,2021-08-26,7609,270,401
SP02,G5,P03,2021-08-26,5285,86,265
SP06,G4,P12,2021-08-26,196,150,18
SP08,G5,P15,2021-08-26,945,175,63
SP04,G3,P16,2021-08-27,8638,318,376
SP03,G1,P20,2021-08-27,12446,242,593
SP01,G2,P21,2021-08-27,140,80,7
SP08,G6,P21,2021-08-27,903,206,43
SP24,G6,P21,2021-08-27,7742,55,517
SP14,G5,P17,2021-08-27,525,18,21
SP20,G4,P14,2021-08-27,8428,50,937
SP21,G5,P13,2021-08-27,784,20,42
SP15,G3,P05,2021-08-30,4403,288,294
SP18,G2,P08,2021-08-30,1022,124,45
SP12,G6,P20,2021-08-30,10080,242,720
SP21,G1,P12,2021-08-30,9212,420,709
SP15,G5,P12,2021-08-30,7392,184,740
SP16,G3,P17,2021-08-31,6174,130,229
SP04,G3,P11,2021-08-31,2709,102,105
SP04,G5,P18,2021-08-31,9303,77,333
SP20,G4,P17,2021-08-31,2401,14,101
SP10,G6,P07,2021-08-31,126,8,6
SP16,G6,P13,2021-08-31,2695,50,118
SP08,G4,P20,2021-08-31,7882,358,493
SP20,G5,P01,2021-08-31,13370,265,432
SP20,G3,P11,2021-08-31,5215,245,174
SP18,G2,P02,2021-08-31,12978,239,1082
SP25,G2,P07,2021-08-31,15813,41,688
SP24,G1,P21,2021-08-31,749,560,45
SP15,G4,P22,2021-08-31,6020,304,241
SP09,G2,P11,2021-08-31,2135,210,67
SP07,G1,P04,2021-08-31,10927,221,608
SP17,G5,P04,2021-08-31,2275,56,120
SP17,G4,P05,2021-08-31,9443,12,450
SP04,G5,P02,2021-08-31,11326,243,944
SP21,G3,P10,2021-08-31,2100,352,105
SP25,G6,P04,2021-09-01,1127,236,54
SP05,G1,P07,2021-09-01,5026,127,219
SP23,G6,P07,2021-09-01,4991,80,185
SP01,G1,P14,2021-09-01,175,59,12
SP14,G4,P01,2021-09-01,9968,466,356
SP21,G4,P20,2021-09-01,4977,142,277
SP20,G1,P11,2021-09-01,3423,178,123
SP13,G2,P01,2021-09-01,7952,86,319
SP06,G4,P11,2021-09-01,5859,146,245
SP04,G1,P02,2021-09-01,3920,543,262
SP03,G4,P18,2021-09-01,4774,332,165
SP11,G6,P07,2021-09-01,4165,128,139
SP23,G6,P08,2021-09-01,7518,137,358
SP04,G1,P22,2021-09-01,4249,74,237
SP08,G4,P10,2021-09-01,2492,364,89
SP13,G6,P10,2021-09-01,4914,7,176
SP22,G4,P01,2021-09-01,6132,88,212
SP25,G6,P09,2021-09-02,910,213,114
SP21,G3,P04,2021-09-02,2212,302,101
SP15,G5,P16,2021-09-02,5796,137,207
SP21,G5,P05,2021-09-02,20181,414,1010
SP08,G5,P12,2021-09-02,6272,198,571
SP21,G4,P09,2021-09-02,3171,99,244
SP12,G6,P13,2021-09-02,567,230,27
SP05,G3,P15,2021-09-02,1701,398,171
SP02,G5,P20,2021-09-03,11704,129,836
SP10,G2,P05,2021-09-03,420,85,25
SP18,G6,P09,2021-09-03,840,115,60
SP05,G3,P14,2021-09-03,9940,311,663
SP05,G5,P06,2021-09-03,7392,189,528
SP16,G6,P12,2021-09-03,434,246,28
SP07,G2,P02,2021-09-03,2982,72,187
SP13,G4,P18,2021-09-06,357,139,11
SP09,G3,P16,2021-09-06,12999,134,500
SP03,G6,P05,2021-09-06,3920,110,280
SP01,G1,P03,2021-09-06,6741,100,338
SP22,G6,P22,2021-09-06,4529,353,175
SP10,G2,P02,2021-09-06,4340,80,543
SP01,G1,P10,2021-09-07,10262,5,467
SP12,G4,P15,2021-09-07,5845,108,488
SP20,G3,P22,2021-09-07,3577,30,144
SP16,G2,P21,2021-09-07,5789,54,414
SP14,G5,P08,2021-09-08,2912,285,133
SP06,G5,P18,2021-09-08,182,140,7
SP24,G6,P15,2021-09-08,5152,29,573
SP21,G1,P07,2021-09-08,10206,75,444
SP02,G3,P07,2021-09-08,4347,73,189
SP16,G1,P04,2021-09-08,4935,520,260
SP08,G5,P13,2021-09-08,1813,490,96
SP10,G3,P16,2021-09-08,2289,105,74
SP08,G2,P14,2021-09-08,3794,35,422
SP13,G2,P17,2021-09-09,5278,216,203
SP01,G4,P16,2021-09-09,2940,112,95
SP11,G1,P12,2021-09-09,8120,138,452
SP12,G1,P20,2021-09-09,5565,55,279
SP18,G5,P01,2021-09-09,1526,94,64
SP21,G4,P16,2021-09-09,9611,5,418
SP22,G6,P08,2021-09-10,7518,197,342
SP02,G6,P13,2021-09-10,13580,129,591
SP04,G2,P10,2021-09-10,3976,32,160
SP05,G4,P14,2021-09-10,11277,87,664
SP01,G5,P10,2021-09-10,5068,110,242
SP08,G1,P09,2021-09-10,8267,107,689
SP17,G1,P08,2021-09-10,8862,345,522
SP23,G3,P07,2021-09-10,15015,360,653
SP06,G1,P08,2021-09-10,4438,135,247
SP15,G5,P08,2021-09-10,9128,419,508
SP22,G3,P21,2021-09-10,2709,414,129
SP05,G6,P01,2021-09-10,15960,18,639
SP16,G1,P01,2021-09-10,5439,199,182
SP04,G5,P08,2021-09-10,1540,109,74
SP18,G5,P11,2021-09-10,14728,125,476
SP17,G1,P11,2021-09-10,4704,200,157
SP19,G3,P03,2021-09-10,1540,108,74
SP08,G4,P17,2021-09-10,11109,88,428
SP13,G4,P14,2021-09-10,1638,92,182
SP18,G4,P06,2021-09-10,2541,98,128
SP07,G3,P22,2021-09-10,231,184,12
SP12,G1,P22,2021-09-10,11249,70,490
SP01,G6,P05,2021-09-10,5306,120,332
SP06,G3,P13,2021-09-10,2079,164,123
SP10,G4,P13,2021-09-10,1148,113,61
SP22,G3,P12,2021-09-13,322,123,33
SP15,G6,P16,2021-09-13,1239,71,42
SP08,G1,P01,2021-09-13,16681,274,596
SP22,G4,P05,2021-09-13,98,212,6
SP04,G6,P11,2021-09-13,5649,134,202
SP08,G2,P21,2021-09-13,2870,278,180
SP07,G4,P03,2021-09-13,4151,184,219
SP09,G5,P17,2021-09-13,3962,64,159
SP24,G4,P16,2021-09-13,7119,41,238
SP03,G2,P16,2021-09-13,1393,42,52
SP10,G6,P22,2021-09-13,9506,98,414
SP13,G3,P08,2021-09-13,8897,172,495
SP11,G5,P21,2021-09-13,12019,111,752
SP16,G5,P10,2021-09-13,12439,160,622
SP05,G1,P22,2021-09-13,3612,372,191
SP24,G2,P08,2021-09-13,2646,367,111
SP09,G2,P21,2021-09-13,511,352,35
SP06,G4,P03,2021-09-13,4207,7,192
SP18,G3,P12,2021-09-13,10290,79,606
SP10,G4,P07,2021-09-13,6069,287,264
SP02,G2,P07,2021-09-14,12292,82,410
SP07,G4,P15,2021-09-14,3794,235,475
SP09,G6,P07,2021-09-14,16793,34,700
SP11,G6,P02,2021-09-14,5327,103,381
SP04,G6,P20,2021-09-14,1267,259,61
SP19,G4,P22,2021-09-14,3514,320,185
SP04,G2,P03,2021-09-14,10157,59,535
SP07,G2,P10,2021-09-14,9555,23,399
SP11,G2,P04,2021-09-14,8960,71,427
SP18,G1,P10,2021-09-14,581,98,21
SP19,G2,P12,2021-09-15,735,37,41
SP18,G3,P18,2021-09-15,7084,59,284
SP16,G6,P11,2021-09-15,4438,331,139
SP14,G4,P12,2021-09-15,9646,153,603
SP14,G2,P12,2021-09-15,3759,9,290
SP20,G1,P06,2021-09-15,721,265,38
SP05,G4,P09,2021-09-15,5887,2,655
SP22,G1,P21,2021-09-15,7924,41,496
SP17,G2,P08,2021-09-15,7343,161,306
SP20,G4,P15,2021-09-15,994,215,83
SP11,G1,P16,2021-09-15,1568,278,66
SP07,G5,P05,2021-09-15,959,160,57
SP18,G6,P15,2021-09-15,5355,207,670
SP04,G5,P12,2021-09-15,12915,160,1175
SP20,G1,P05,2021-09-16,5621,388,352
SP23,G2,P09,2021-09-16,5089,94,364
SP10,G4,P21,2021-09-16,13993,83,737
SP19,G4,P16,2021-09-16,4242,113,152
SP23,G3,P09,2021-09-16,2842,253,406
SP04,G5,P07,2021-09-17,8862,342,370
SP23,G2,P13,2021-09-17,19054,49,794
SP10,G3,P19,2021-09-17,5551,102,694
SP16,G6,P05,2021-09-17,1946,176,93
SP16,G6,P21,2021-09-17,966,32,44
SP13,G6,P01,2021-09-17,2730,56,119
SP02,G1,P07,2021-09-17,10010,257,358
SP03,G3,P04,2021-09-17,4529,126,302
SP12,G1,P19,2021-09-17,9891,105,660
SP18,G3,P17,2021-09-17,2275,115,99
SP21,G5,P17,2021-09-20,3241,178,116
SP02,G6,P19,2021-09-20,917,667,66
SP05,G4,P08,2021-09-20,3913,219,245
SP24,G6,P17,2021-09-21,1792,94,75
SP22,G5,P20,2021-09-21,5761,224,339
SP22,G5,P18,2021-09-21,5327,14,214
SP08,G1,P13,2021-09-21,1519,181,95
SP20,G2,P13,2021-09-21,11326,110,515
SP22,G6,P04,2021-09-21,7252,223,427
SP21,G5,P18,2021-09-21,12929,20,418
SP03,G3,P09,2021-09-21,2996,18,428
SP10,G1,P14,2021-09-21,1239,112,89
SP19,G4,P04,2021-09-21,9128,179,481
SP13,G4,P06,2021-09-21,4137,107,319
SP07,G5,P22,2021-09-21,6482,12,260
SP11,G1,P07,2021-09-21,1393,213,50
SP14,G4,P08,2021-09-21,11627,96,727
SP03,G5,P09,2021-09-22,3080,97,257
SP05,G2,P19,2021-09-22,12180,271,812
SP19,G6,P18,2021-09-22,462,11,16
SP19,G6,P02,2021-09-22,1498,128,107
SP01,G4,P20,2021-09-23,1589,65,89
SP22,G3,P22,2021-09-23,2184,84,95
SP10,G3,P13,2021-09-23,3073,3,129
SP17,G1,P07,2021-09-23,16513,93,551
SP07,G3,P13,2021-09-23,2051,16,90
SP19,G1,P19,2021-09-23,11109,305,1111
SP05,G5,P03,2021-09-23,574,360,25
SP01,G3,P11,2021-09-24,7532,131,314
SP10,G3,P12,2021-09-24,504,170,51
SP22,G2,P14,2021-09-24,12642,194,1054
SP11,G2,P07,2021-09-24,2569,80,92
SP12,G3,P11,2021-09-24,476,24,16
SP03,G5,P13,2021-09-24,9884,77,430
SP04,G5,P11,2021-09-24,3731,18,150
SP05,G5,P17,2021-09-24,6727,194,293
SP19,G2,P07,2021-09-24,1869,378,67
SP05,G6,P16,2021-09-24,3262,192,142
SP23,G2,P07,2021-09-24,8057,301,299
SP22,G5,P22,2021-09-24,91,78,5
SP19,G1,P10,2021-09-24,3122,208,131
SP19,G5,P04,2021-09-24,5033,97,360
SP15,G5,P19,2021-09-24,2184,199,182
SP18,G3,P04,2021-09-24,721,182,41
SP17,G5,P15,2021-09-24,5061,217,390
SP18,G4,P14,2021-09-27,12152,26,1105
SP19,G5,P12,2021-09-27,15526,47,1195
SP01,G1,P11,2021-09-27,14525,60,581
SP18,G1,P04,2021-09-27,2485,98,131
SP10,G6,P01,2021-09-27,7091,253,245
SP02,G2,P02,2021-09-27,6846,647,428
SP21,G2,P17,2021-09-27,1204,273,49
SP24,G6,P20,2021-09-27,1883,83,111
SP13,G5,P21,2021-09-27,2723,194,144
SP14,G6,P18,2021-09-27,7196,104,219
SP17,G6,P04,2021-09-27,1078,307,49
SP16,G3,P06,2021-09-28,4998,67,385
SP03,G1,P19,2021-09-28,8127,206,581
SP25,G1,P17,2021-09-28,6006,202,273
SP20,G5,P16,2021-09-28,13349,208,431
SP09,G5,P04,2021-09-28,994,42,50
SP11,G4,P04,2021-09-28,6160,163,363
SP11,G2,P10,2021-09-28,2569,210,108
SP16,G5,P12,2021-09-28,3206,473,321
SP14,G3,P19,2021-09-29,665,112,52
SP17,G1,P03,2021-09-29,427,16,26
SP03,G2,P10,2021-09-29,5166,83,216
SP23,G4,P15,2021-09-29,8603,93,574
SP21,G5,P16,2021-09-29,1904,205,71
SP10,G5,P03,2021-09-29,3766,252,210
SP25,G1,P14,2021-09-29,1337,17,134
SP24,G6,P05,2021-09-29,12775,347,913
SP18,G3,P02,2021-09-29,7812,40,601
SP14,G1,P03,2021-09-29,3976,199,249
SP15,G5,P11,2021-09-29,13083,337,437
SP13,G3,P17,2021-09-29,4487,18,187
SP21,G6,P21,2021-09-29,5313,96,253
SP06,G5,P17,2021-09-29,2163,195,91
SP20,G4,P01,2021-09-29,4830,29,173
SP06,G5,P07,2021-09-29,7959,59,295
SP06,G2,P09,2021-09-29,4067,14,452
SP13,G4,P09,2021-09-29,1120,21,80
SP10,G5,P12,2021-09-29,10829,30,722
SP19,G4,P09,2021-09-29,5068,183,724
SP03,G4,P20,2021-09-29,9156,88,436
SP16,G4,P16,2021-09-30,6944,227,240
SP07,G4,P14,2021-09-30,2870,152,169
SP19,G1,P20,2021-09-30,4403,145,210
SP18,G5,P06,2021-09-30,4312,100,240
SP14,G1,P11,2021-10-01,1050,49,33
SP25,G5,P04,2021-10-01,1890,84,119
SP16,G2,P19,2021-10-01,5348,170,764
SP05,G5,P10,2021-10-01,11214,140,534
SP23,G3,P10,2021-10-01,1113,196,49
SP07,G4,P07,2021-10-01,2268,196,88
SP17,G1,P12,2021-10-01,6419,141,378
SP15,G2,P12,2021-10-01,7539,162,419
SP07,G3,P08,2021-10-01,9520,87,414
SP04,G6,P12,2021-10-01,6209,262,518
SP07,G6,P03,2021-10-01,1652,271,92
SP21,G3,P17,2021-10-01,6657,179,278
SP13,G5,P22,2021-10-01,12460,127,656
SP03,G3,P13,2021-10-01,9548,365,455
SP13,G1,P16,2021-10-01,8176,204,356
SP21,G2,P05,2021-10-01,7903,260,465
SP04,G1,P08,2021-10-01,4473,396,224
SP25,G2,P16,2021-10-01,4536,337,175
SP06,G4,P15,2021-10-04,3962,21,397
SP21,G6,P19,2021-10-04,21588,74,1440
SP01,G4,P18,2021-10-04,16394,115,547
SP15,G1,P07,2021-10-04,3101,115,115
SP14,G1,P18,2021-10-04,4039,16,131
SP24,G4,P22,2021-10-05,2975,248,124
SP18,G4,P15,2021-10-05,5320,163,532
SP16,G1,P13,2021-10-05,287,190,16
SP17,G1,P17,2021-10-05,6902,37,277
SP25,G3,P16,2021-10-05,5726,438,230
SP14,G4,P15,2021-10-05,1512,80,168
SP23,G2,P18,2021-10-05,5845,114,183
SP01,G1,P18,2021-10-05,3038,8,98
SP06,G4,P22,2021-10-05,1085,197,44
SP18,G2,P14,2021-10-05,1029,306,86
SP15,G2,P10,2021-10-05,10038,14,457
SP04,G3,P13,2021-10-05,10843,65,493
SP18,G5,P21,2021-10-06,3101,526,141
SP25,G5,P22,2021-10-06,1162,265,56
SP06,G6,P11,2021-10-06,3885,168,126
SP24,G5,P11,2021-10-06,8960,85,299
SP02,G1,P20,2021-10-06,6902,46,406
SP15,G2,P15,2021-10-06,4830,215,440
SP15,G2,P07,2021-10-06,1792,36,75
SP12,G2,P02,2021-10-06,18165,50,1514
SP21,G6,P05,2021-10-06,5152,142,322
SP03,G6,P19,2021-10-06,812,314,74
SP09,G6,P09,2021-10-07,1918,154,137
SP23,G4,P08,2021-10-07,4879,82,287
SP20,G6,P13,2021-10-07,4788,264,252
SP13,G2,P11,2021-10-07,6860,280,229
SP15,G2,P05,2021-10-07,6461,238,404
SP21,G2,P08,2021-10-07,77,61,5
SP16,G3,P22,2021-10-08,1358,459,76
SP01,G4,P10,2021-10-08,9373,203,361
SP16,G5,P13,2021-10-08,2968,42,186
SP19,G2,P01,2021-10-08,6111,79,266
SP15,G3,P10,2021-10-08,13251,290,631
SP25,G4,P14,2021-10-08,8085,185,674
SP01,G6,P07,2021-10-08,15022,299,626
SP24,G3,P03,2021-10-08,3003,11,131
SP10,G5,P14,2021-10-08,7602,229,845
SP24,G3,P18,2021-10-08,4368,23,151
SP07,G2,P12,2021-10-08,3577,2,224
SP06,G2,P19,2021-10-08,2590,300,200
SP05,G1,P05,2021-10-08,931,43,72
SP08,G2,P01,2021-10-08,8750,207,283
SP09,G4,P13,2021-10-08,1960,170,104
SP05,G4,P22,2021-10-08,7252,189,363
SP01,G3,P04,2021-10-08,9933,69,552
SP21,G2,P22,2021-10-11,7434,267,413
SP02,G2,P03,2021-10-11,9275,451,442
SP05,G3,P11,2021-10-11,1274,246,51
SP02,G6,P12,2021-10-11,9737,298,650
SP13,G4,P15,2021-10-11,2569,153,257
SP25,G6,P06,2021-10-11,14959,299,713
SP01,G2,P22,2021-10-11,8939,38,389
SP17,G1,P10,2021-10-11,2688,179,108
SP13,G4,P20,2021-10-11,3675,178,217
SP13,G3,P07,2021-10-11,10738,256,430
SP06,G3,P22,2021-10-11,812,109,41
SP11,G5,P03,2021-10-11,10612,54,590
SP10,G5,P10,2021-10-11,3822,280,160
SP03,G2,P03,2021-10-11,1463,195,67
SP08,G3,P16,2021-10-11,3262,350,126
SP21,G2,P19,2021-10-11,217,55,17
SP06,G1,P16,2021-10-11,5600,50,187
SP06,G5,P10,2021-10-11,1120,121,56
SP19,G5,P01,2021-10-11,294,20,11
SP22,G5,P06,2021-10-12,5663,231,334
SP23,G5,P16,2021-10-12,10689,83,428
SP19,G1,P17,2021-10-12,70,197,3
SP20,G4,P10,2021-10-12,9093,45,379
SP14,G3,P10,2021-10-12,14238,193,594
SP07,G5,P07,2021-10-12,2408,103,84
SP16,G4,P07,2021-10-12,203,158,8
SP02,G6,P01,2021-10-12,2359,163,99
SP22,G3,P10,2021-10-12,6650,42,247
SP22,G4,P20,2021-10-12,5845,25,390
SP14,G2,P01,2021-10-12,3206,179,124
SP23,G3,P03,2021-10-12,2632,241,155
